id,quality
0,5
1,5
2,6
3,7
4,6
5,5
6,5
7,5
8,6
9,5
10,6
11,6
12,5
13,5
14,6
15,6
16,6
17,7
18,6
19,6
20,6
21,7
22,6
23,5
24,5
25,6
26,5
27,6
28,6
29,5
30,5
31,6
32,5
33,5
34,5
35,7
36,6
37,6
38,5
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,7
49,6
50,5
51,6
52,6
53,6
54,7
55,5
56,5
57,6
58,6
59,6
60,5
61,7
62,7
63,5
64,6
65,6
66,6
67,5
68,6
69,5
70,6
71,5
72,6
73,5
74,5
75,7
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,5
84,5
85,5
86,6
87,6
88,6
89,5
90,7
91,6
92,6
93,6
94,7
95,7
96,6
97,7
98,6
99,5
100,7
101,6
102,5
103,6
104,6
105,5
106,7
107,5
108,7
109,5
110,6
111,6
112,5
113,6
114,6
115,6
116,6
117,7
118,7
119,6
120,6
121,6
122,5
123,6
124,6
125,5
126,6
127,5
128,6
129,6
130,5
131,5
132,5
133,7
134,5
135,5
136,6
137,6
138,6
139,7
140,7
141,6
142,6
143,6
144,7
145,5
146,6
147,6
148,5
149,6
150,6
151,6
152,6
153,7
154,6
155,5
156,6
157,5
158,6
159,6
160,5
161,6
162,5
163,6
164,6
165,6
166,6
167,6
168,7
169,6
170,7
171,5
172,7
173,7
174,5
175,5
176,6
177,7
178,5
179,5
180,6
181,5
182,6
183,6
184,6
185,6
186,6
187,7
188,7
189,7
190,5
191,7
192,7
193,6
194,5
195,6
196,5
197,6
198,6
199,5
200,5
201,6
202,7
203,7
204,5
205,6
206,6
207,7
208,6
209,6
210,5
211,5
212,5
213,6
214,6
215,5
216,7
217,5
218,7
219,5
220,5
221,5
222,6
223,5
224,6
225,6
226,6
227,6
228,7
229,5
230,5
231,5
232,5
233,5
234,6
235,5
236,5
237,6
238,5
239,6
240,5
241,7
242,6
243,6
244,7
245,6
246,6
247,6
248,7
249,7
250,5
251,7
252,5
253,5
254,5
255,5
256,6
257,6
258,5
259,6
260,6
261,5
262,5
263,5
264,5
265,7
266,6
267,5
268,7
269,6
270,5
271,6
272,5
273,5
274,5
275,5
276,6
277,6
278,7
279,6
280,6
281,6
282,7
283,7
284,5
285,7
286,7
287,5
288,6
289,5
290,7
291,6
292,7
293,6
294,7
295,6
296,6
297,6
298,6
299,5
300,7
301,6
302,7
303,6
304,7
305,6
306,6
307,6
308,5
309,5
310,6
311,6
312,5
313,6
314,5
315,5
316,6
317,6
318,6
319,7
320,7
321,6
322,6
323,5
324,7
325,5
326,6
327,6
328,7
329,6
330,6
331,6
332,5
333,5
334,6
335,7
336,6
337,6
338,6
339,5
340,6
341,6
342,6
343,5
344,6
345,6
346,5
347,5
348,6
349,5
350,7
351,5
352,5
353,6
354,6
355,5
356,6
357,7
358,5
359,6
360,5
361,5
362,6
363,6
364,5
365,6
366,5
367,5
368,6
369,7
370,8
371,6
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,6
380,6
381,6
382,6
383,5
384,5
385,6
386,6
387,5
388,6
389,6
390,6
391,6
392,6
393,5
394,6
395,6
396,7
397,6
398,6
399,6
400,6
401,6
402,7
403,5
404,5
405,5
406,6
407,6
408,6
409,6
410,6
411,6
412,6
413,6
414,6
415,6
416,6
417,5
418,7
419,5
420,7
421,7
422,6
423,6
424,5
425,7
426,5
427,6
428,6
429,6
430,6
431,5
432,5
433,6
434,5
435,6
436,7
437,6
438,7
439,7
440,6
441,6
442,6
443,6
444,7
445,5
446,6
447,6
448,6
449,6
450,5
451,5
452,6
453,5
454,5
455,6
456,5
457,6
458,6
459,7
460,6
461,6
462,6
463,6
464,6
465,5
466,5
467,5
468,6
469,6
470,5
471,6
472,6
473,7
474,5
475,7
476,7
477,6
478,6
479,7
480,6
481,5
482,5
483,6
484,5
485,7
486,7
487,6
488,6
489,6
490,5
491,6
492,6
493,5
494,5
495,5
496,7
497,6
498,6
499,7
500,6
501,6
502,7
503,5
504,5
505,6
506,6
507,5
508,6
509,5
510,6
